from_polity_id,from_name,to_polity_id,to_name,territorial_direction,strength,shared_territories,shared_territory_count,same_ethnicity,related_ethnicity,same_language,same_religion,same_civilization,temporal_gap_years
kara_khanid_khanate,Kara-Khanid Khanate,ghaznavid_empire,Ghaznavid Empire,expansion,5,transoxiana,1,1,0,0,1,0,-235
southern_dynasties,Southern Dynasties,tang_dynasty,Tang Dynasty,expansion,5,yangtze,1,1,0,0,0,0,29
southern_song,Southern Song Dynasty,ming_dynasty,Ming Dynasty,expansion,5,yangtze,1,1,0,0,1,0,89
northern_dynasties,Northern Dynasties,tang_dynasty,Tang Dynasty,expansion,5,yellow_river,1,1,0,0,0,0,37
tsardom_russia,Tsardom of Russia,soviet_union,Soviet Union,expansion,5,,0,1,0,1,0,0,201
ifat_sultanate,Ifat Sultanate,ajuran_sultanate,Ajuran Sultanate,same,5,arabia,1,1,0,0,1,0,-115
ajuran_sultanate,Ajuran Sultanate,adal_sultanate,Adal Sultanate,same,5,arabia,1,1,0,0,1,0,-285
kazakh_khanate,Kazakh Khanate,yarkand_khanate,Yarkand Khanate,same,5,central_asian_steppe,1,1,0,0,1,0,-217
pandya_dynasty,Pandya Dynasty,satavahana_empire,Satavahana Empire,same,5,deccan,1,1,0,0,1,0,-1575
pandya_dynasty,Pandya Dynasty,kadamba_dynasty,Kadamba Dynasty,same,5,deccan,1,1,0,0,1,0,-1000
pandya_dynasty,Pandya Dynasty,chalukya_dynasty,Chalukya Dynasty (Badami),same,5,deccan,1,1,0,0,1,0,-802
pandya_dynasty,Pandya Dynasty,rashtrakuta_dynasty,Rashtrakuta Dynasty,same,5,deccan,1,1,0,0,1,0,-592
pandya_dynasty,Pandya Dynasty,western_chalukya,Western Chalukya Empire,same,5,deccan,1,1,0,0,1,0,-372
pandya_dynasty,Pandya Dynasty,hoysala_dynasty,Hoysala Empire,same,5,deccan,1,1,0,0,1,0,-339
pandya_dynasty,Pandya Dynasty,kakatiya_dynasty,Kakatiya Dynasty,same,5,deccan,1,1,0,0,1,0,-262
pandya_dynasty,Pandya Dynasty,mysore_kingdom,Mysore Kingdom,same,5,deccan,1,1,0,0,1,0,54
chola_empire,Chola Empire,satavahana_empire,Satavahana Empire,same,5,deccan,1,1,0,0,1,0,-1509
chola_empire,Chola Empire,kadamba_dynasty,Kadamba Dynasty,same,5,deccan,1,1,0,0,1,0,-934
chola_empire,Chola Empire,chalukya_dynasty,Chalukya Dynasty (Badami),same,5,deccan,1,1,0,0,1,0,-736
chola_empire,Chola Empire,rashtrakuta_dynasty,Rashtrakuta Dynasty,same,5,deccan,1,1,0,0,1,0,-526
chola_empire,Chola Empire,western_chalukya,Western Chalukya Empire,same,5,deccan,1,1,0,0,1,0,-306
chola_empire,Chola Empire,hoysala_dynasty,Hoysala Empire,same,5,deccan,1,1,0,0,1,0,-273
chola_empire,Chola Empire,kakatiya_dynasty,Kakatiya Dynasty,same,5,deccan,1,1,0,0,1,0,-196
chola_empire,Chola Empire,vijayanagara_empire,Vijayanagara Empire,same,5,deccan,1,1,0,0,1,0,57
chola_empire,Chola Empire,mysore_kingdom,Mysore Kingdom,same,5,deccan,1,1,0,0,1,0,120
chera_dynasty,Chera Dynasty,satavahana_empire,Satavahana Empire,same,5,deccan,1,1,0,0,1,0,-1332
chera_dynasty,Chera Dynasty,kadamba_dynasty,Kadamba Dynasty,same,5,deccan,1,1,0,0,1,0,-757
chera_dynasty,Chera Dynasty,chalukya_dynasty,Chalukya Dynasty (Badami),same,5,deccan,1,1,0,0,1,0,-559
chera_dynasty,Chera Dynasty,rashtrakuta_dynasty,Rashtrakuta Dynasty,same,5,deccan,1,1,0,0,1,0,-349
chera_dynasty,Chera Dynasty,western_chalukya,Western Chalukya Empire,same,5,deccan,1,1,0,0,1,0,-129
chera_dynasty,Chera Dynasty,hoysala_dynasty,Hoysala Empire,same,5,deccan,1,1,0,0,1,0,-96
satavahana_empire,Satavahana Empire,pallava_dynasty,Pallava Dynasty,same,5,deccan,1,1,0,0,1,0,55
satavahana_empire,Satavahana Empire,kadamba_dynasty,Kadamba Dynasty,same,5,deccan,1,1,0,0,1,0,125
vakataka_dynasty,Vakataka Dynasty,chalukya_dynasty,Chalukya Dynasty (Badami),same,5,deccan,1,0,0,1,1,0,43
pallava_dynasty,Pallava Dynasty,kadamba_dynasty,Kadamba Dynasty,same,5,deccan,1,1,0,0,1,0,-552
pallava_dynasty,Pallava Dynasty,chalukya_dynasty,Chalukya Dynasty (Badami),same,5,deccan,1,1,0,0,1,0,-354
pallava_dynasty,Pallava Dynasty,rashtrakuta_dynasty,Rashtrakuta Dynasty,same,5,deccan,1,1,0,0,1,0,-144
pallava_dynasty,Pallava Dynasty,western_chalukya,Western Chalukya Empire,same,5,deccan,1,1,0,0,1,0,76
pallava_dynasty,Pallava Dynasty,hoysala_dynasty,Hoysala Empire,same,5,deccan,1,1,0,0,1,0,109
rashtrakuta_dynasty,Rashtrakuta Dynasty,kakatiya_dynasty,Kakatiya Dynasty,same,5,deccan,1,1,0,0,1,0,101
western_chalukya,Western Chalukya Empire,kakatiya_dynasty,Kakatiya Dynasty,same,5,deccan,1,1,0,0,1,0,-106
western_chalukya,Western Chalukya Empire,vijayanagara_empire,Vijayanagara Empire,same,5,deccan,1,1,0,0,1,0,147
hoysala_dynasty,Hoysala Empire,kakatiya_dynasty,Kakatiya Dynasty,same,5,deccan,1,1,0,0,1,0,-263
hoysala_dynasty,Hoysala Empire,mysore_kingdom,Mysore Kingdom,same,5,deccan,1,1,0,0,1,0,53
kakatiya_dynasty,Kakatiya Dynasty,mysore_kingdom,Mysore Kingdom,same,5,deccan,1,1,0,0,1,0,76
nanda_empire,Nanda Empire,shunga_dynasty,Shunga Dynasty,same,5,ganges_plain,1,1,0,0,1,0,137
harsha_empire,Harsha Empire,pala_empire,Pala Empire,same,5,ganges_plain,1,1,0,0,1,0,103
bengal_sultanate,Bengal Sultanate,malwa_sultanate,Malwa Sultanate,same,5,ganges_plain,1,1,0,0,1,0,-184
bengal_sultanate,Bengal Sultanate,jaunpur_sultanate,Jaunpur Sultanate,same,5,ganges_plain,1,1,0,0,1,0,-182
indo_scythian_kingdom,Indo-Scythian Kingdom,indo_parthian_kingdom,Indo-Parthian Kingdom,same,5,indus_valley|punjab,2,0,0,1,1,0,-419
indo_greek_kingdom,Indo-Greek Kingdom,indo_parthian_kingdom,Indo-Parthian Kingdom,same,5,indus_valley|punjab,2,0,0,0,1,0,-9
liao_dynasty,Liao Dynasty (Khitan),jin_jurchen,Jin Dynasty (Jurchen),same,5,manchuria|yellow_river,2,0,0,0,1,0,-10
yuan_dynasty,Yuan Dynasty,ming_dynasty,Ming Dynasty,same,5,manchuria|yangtze|yellow_river,3,0,0,0,0,0,0
darfur_sultanate,Darfur Sultanate,mahdist_state,Mahdist State,same,5,nubia,1,0,0,1,1,0,-31
kingdom_of_norway,Kingdom of Norway,kalmar_union,Kalmar Union,same,5,scandinavia,1,1,0,0,0,0,17
sumerian_city_states,"Sumerian City-States (Ur, Uruk, Lagash)",ur_iii,Third Dynasty of Ur (Neo-Sumerian),same,5,,0,1,0,1,0,0,222
idrisid_dynasty,Idrisid Dynasty,hafsid_dynasty,Hafsid Dynasty,same,5,,0,1,0,1,0,0,255
idrisid_dynasty,Idrisid Dynasty,marinid_dynasty,Marinid Dynasty,same,5,,0,1,0,1,0,0,270
kingdom_of_saba,Kingdom of Saba (Sheba),himyarite_kingdom,Himyarite Kingdom,same,5,,0,1,0,1,0,0,165
chalukya_dynasty,Chalukya Dynasty (Badami),western_chalukya,Western Chalukya Empire,same,5,,0,1,0,1,0,0,216
chalukya_dynasty,Chalukya Dynasty (Badami),hoysala_dynasty,Hoysala Empire,same,5,,0,1,0,1,0,0,249
tulunid_dynasty,Tulunid Dynasty,zangid_atabegate,Zangid Atabegate,same,5,,0,1,0,1,0,0,222
ikhshidid_dynasty,Ikhshidid Dynasty,mamluk_sultanate,Mamluk Sultanate,same,5,,0,1,0,1,0,0,281
north_yuan,North Yuan,mongolian_peoples_republic,Mongolian People's Republic,same,5,,0,1,0,1,0,0,289
tsardom_russia,Tsardom of Russia,russian_federation,Russian Federation,same,5,,0,1,0,1,0,0,270
ottoman_empire,Ottoman Empire,aq_qoyunlu,Aq Qoyunlu (White Sheep Turkmen),contraction,4,anatolia,1,1,0,0,0,0,-544
abbasid_caliphate,Abbasid Caliphate,ifat_sultanate,Ifat Sultanate,contraction,4,arabia,1,0,0,1,0,0,27
habsburg_monarchy,Habsburg Monarchy,czechoslovakia,Czechoslovakia,contraction,4,bohemia,1,0,0,0,1,0,0
goktürk_khaganate,Göktürk Khaganate,avar_khaganate,Avar Khaganate,contraction,4,central_asian_steppe,1,0,0,1,1,0,-176
